architecture,feature_dim,learning_rate,epoch,train_loss,val_loss,avg_latency,fitness
alexnet,256,0.01,1,690.876012802124,24.912870277057994,0.0011921037327159536,0.029133654721642248
alexnet,256,0.01,2,23.72730077855727,23.829857566139914,0.0013576204126531427,0.029133654721642248
alexnet,256,0.01,3,23.80889228372013,24.254352136091754,0.002939007499001243,0.029133654721642248
alexnet,256,0.01,4,23.821178077248966,24.17370826547796,0.001153740015896884,0.029133654721642248
alexnet,256,0.01,5,23.67086825651281,24.352360898798164,0.0021583492105657406,0.029133654721642248
alexnet,256,0.01,6,23.713359765445485,24.710426157171074,0.0013121041384610262,0.029133654721642248
alexnet,256,0.01,7,23.590387501436123,24.36453273079612,0.0017470013011585581,0.029133654721642248
alexnet,256,0.01,8,23.64512331345502,24.386105710809883,0.0018867687745527787,0.029133654721642248
alexnet,256,0.01,9,23.883908754236558,24.64278507232666,0.0,0.029133654721642248
alexnet,256,0.01,10,23.864535701976102,24.068642616271973,0.0012104402888904917,0.029133654721642248
alexnet,256,0.001,1,44.453087279375865,30.03577639839866,0.0014308474280617454,0.04185262023216649
alexnet,256,0.001,2,26.05392967672909,27.947485750371758,0.0014275095679543235,0.04185262023216649
alexnet,256,0.001,3,26.301873038796817,28.19022274017334,0.0007152232256802646,0.04185262023216649
alexnet,256,0.001,4,26.407419518863453,28.183801911093973,0.0021316896785389295,0.04185262023216649
alexnet,256,0.001,5,25.51135134977453,28.234763145446777,0.0007114518772472035,0.04185262023216649
alexnet,256,0.001,6,25.265607564589555,24.67775570262562,0.002163074233315208,0.04185262023216649
alexnet,256,0.001,7,24.61219047097599,24.53845908425071,0.0036221309141679244,0.04185262023216649
alexnet,256,0.001,8,23.5320966944975,25.29667533527721,0.0011178255081176758,0.04185262023216649
alexnet,256,0.001,9,23.125739871754366,21.412550796161998,0.0,0.04185262023216649
alexnet,256,0.001,10,24.7430809581981,25.626998858018354,0.0016331455924294212,0.04185262023216649
alexnet,256,0.0001,1,41.835695109647865,26.37559106133201,0.0007151256908069957,0.035095909780741466
alexnet,256,0.0001,2,25.500711418600645,26.92130114815452,0.0014291134747591886,0.035095909780741466
alexnet,256,0.0001,3,25.15247237261604,28.000487674366344,0.0007189295508644798,0.035095909780741466
alexnet,256,0.0001,4,25.21205805610208,26.06042549826882,0.0014295361258766868,0.035095909780741466
alexnet,256,0.0001,5,25.382972044103287,25.49529725855047,0.0006607012315229936,0.035095909780741466
alexnet,256,0.0001,6,25.39506710276884,25.35522053458474,0.0,0.035095909780741466
alexnet,256,0.0001,7,24.698398096421187,25.040395823392,0.0011009194634177468,0.035095909780741466
alexnet,256,0.0001,8,24.534948595832375,24.9417761889371,0.0014618960293856535,0.035095909780741466
alexnet,256,0.0001,9,24.200406018425436,30.030448826876555,0.0014437762173739347,0.035095909780741466
alexnet,256,0.0001,10,24.29532865636489,24.218429131941363,0.00144914063540372,0.035095909780741466
alexnet,256,1e-05,1,89.87931033863741,80.32065131447531,0.000711126761002974,0.0381524417573236
alexnet,256,1e-05,2,44.733000362620636,27.714519804174248,0.0007168596441095525,0.0381524417573236
alexnet,256,1e-05,3,26.353551797305837,27.41791178963401,0.0017032298174771395,0.0381524417573236
alexnet,256,1e-05,4,25.985116857640882,27.03352269259366,0.0009650642221624201,0.0381524417573236
alexnet,256,1e-05,5,25.809514595480525,26.852682720531117,0.0007149197838523171,0.0381524417573236
alexnet,256,1e-05,6,25.67045570822323,27.02732662721114,0.0016219507564197886,0.0381524417573236
alexnet,256,1e-05,7,25.63479434742647,26.68138885498047,0.0011747100136496804,0.0381524417573236
alexnet,256,1e-05,8,25.338991254918717,26.499100294980135,0.0035426833412863993,0.0381524417573236
alexnet,256,1e-05,9,25.32345702227424,26.358228249983355,0.0014454776590520685,0.0381524417573236
alexnet,256,1e-05,10,25.097946907492243,26.39434896815907,0.0014454776590520685,0.0381524417573236
vgg11,512,0.01,1,130131.06900145586,24.04568845575506,0.0030657269737937236,0.028407238108985055
vgg11,512,0.01,2,23.913748685051413,26.695947473699395,0.003569993105801669,0.028407238108985055
vgg11,512,0.01,3,24.533687950583065,24.28794288635254,0.0011315345764160156,0.028407238108985055
vgg11,512,0.01,4,24.21659662583295,23.793581789190117,0.0026590824127197266,0.028407238108985055
vgg11,512,0.01,5,23.992939219755286,26.632792646234687,0.002866614948619496,0.028407238108985055
vgg11,512,0.01,6,24.711950885548312,29.30678827112371,0.000731912526217374,0.028407238108985055
vgg11,512,0.01,7,24.431256776697495,25.121361255645752,0.0007138469002463601,0.028407238108985055
vgg11,512,0.01,8,23.622944416719324,25.83757868680087,0.002855008298700506,0.028407238108985055
vgg11,512,0.01,9,23.479756243088666,24.002332297238436,0.0031761364503340287,0.028407238108985055
vgg11,512,0.01,10,24.020696931726793,24.7431921525435,0.0011480829932472923,0.028407238108985055
vgg11,512,0.001,1,46.91579155641443,28.013080076737836,0.0021876096725463867,0.025477953813627902
vgg11,512,0.001,2,24.963659084544464,25.94888897375627,0.0014246485450051048,0.025477953813627902
vgg11,512,0.001,3,24.50445556640625,23.37950611114502,0.0014385960318825462,0.025477953813627902
vgg11,512,0.001,4,23.900090094173656,23.34672277623957,0.0007130449468439275,0.025477953813627902
vgg11,512,0.001,5,22.809515324760884,22.68991400978782,0.0007151798768477006,0.025477953813627902
vgg11,512,0.001,6,22.94310177073759,24.701480345292524,0.0,0.025477953813627902
vgg11,512,0.001,7,22.931847493788776,27.03308023105968,0.0008613629774613814,0.025477953813627902
vgg11,512,0.001,8,22.467374206991757,22.355326652526855,0.0,0.025477953813627902
vgg11,512,0.001,9,21.95703991160673,22.140473452481356,0.0004934831099076705,0.025477953813627902
vgg11,512,0.001,10,22.054157548792222,22.536789200522684,0.0011305050416426225,0.025477953813627902
vgg11,512,0.0001,1,36.79539684968836,26.850784995339133,0.002155824141068892,0.0511156533668763
vgg11,512,0.0001,2,25.832818199606503,32.279568845575504,0.0007151907140558416,0.0511156533668763
vgg11,512,0.0001,3,25.666302265840418,25.371711124073375,0.001538363370028409,0.0511156533668763
vgg11,512,0.0001,4,25.08206111683565,25.448880759152498,7.908994501287287e-05,0.0511156533668763
vgg11,512,0.0001,5,24.547956623750576,25.09504222869873,0.0014240416613492098,0.0511156533668763
vgg11,512,0.0001,6,24.685409871269673,27.69165073741566,0.0021387013522061434,0.0511156533668763
vgg11,512,0.0001,7,24.057699899112478,24.862083088267934,0.001149242574518377,0.0511156533668763
vgg11,512,0.0001,8,23.689326723884133,25.983836780894887,0.001828811385414817,0.0511156533668763
vgg11,512,0.0001,9,22.51447421803194,24.06651644273238,0.0007141395048661666,0.0511156533668763
vgg11,512,0.0001,10,21.537122816198014,23.749413230202414,0.0021522912112149324,0.0511156533668763
vgg11,512,1e-05,1,76.26329336727366,31.504407275806773,4.576552997935902e-05,0.035816274244786395
vgg11,512,1e-05,2,26.98281012142406,26.911203080957588,0.0013540441339666193,0.035816274244786395
vgg11,512,1e-05,3,26.040161065494313,27.180444544011895,0.0014515248211947355,0.035816274244786395
vgg11,512,1e-05,4,25.84804095099954,26.30259509520097,0.0006272901188243519,0.035816274244786395
vgg11,512,1e-05,5,25.513264846801757,26.116000305522572,0.0021581758152354846,0.035816274244786395
vgg11,512,1e-05,6,25.23555264192469,25.958038676868785,0.0028802915052934127,0.035816274244786395
vgg11,512,1e-05,7,25.04452029957491,25.65722014687278,0.0006482492793690075,0.035816274244786395
vgg11,512,1e-05,8,24.760518062815947,25.58442310853438,0.0028661597858775745,0.035816274244786395
vgg11,512,1e-05,9,24.56854678883272,25.236127853393555,0.00023638118397105825,0.035816274244786395
vgg11,512,1e-05,10,24.504366571762983,25.000457893718373,0.001432624730196866,0.035816274244786395
vgg11_bn,512,0.01,1,26.222166341893814,23.826072346080434,0.003250111233104359,0.06162824123594372
vgg11_bn,512,0.01,2,21.852857488744398,22.254731134934858,0.0020118843425403943,0.06162824123594372
vgg11_bn,512,0.01,3,19.876854212143844,21.656785141338002,0.0004989775744351474,0.06162824123594372
vgg11_bn,512,0.01,4,20.62269254572251,22.483120398087934,0.0012126619165593927,0.06162824123594372
vgg11_bn,512,0.01,5,19.608030061160818,19.01992351358587,0.0011172511360862038,0.06162824123594372
vgg11_bn,512,0.01,6,18.89359296910903,23.82871827212247,0.0013303431597622957,0.06162824123594372
vgg11_bn,512,0.01,7,18.33847651762121,17.900518504056063,0.002165230837735263,0.06162824123594372
vgg11_bn,512,0.01,8,19.042580873825973,17.61215591430664,0.002893133596940474,0.06162824123594372
vgg11_bn,512,0.01,9,18.631937621621525,17.657412138852205,0.0017896782268177378,0.06162824123594372
vgg11_bn,512,0.01,10,17.21712480432847,17.501605694944207,0.0035212906924161043,0.06162824123594372
vgg11_bn,512,0.001,1,40.139619625315945,21.909423437985506,0.003339496525851163,0.015748130273231038
vgg11_bn,512,0.001,2,20.89839370951933,23.734248876571655,0.0,0.015748130273231038
vgg11_bn,512,0.001,3,19.8248244117288,19.43416404724121,0.0018101822246204722,0.015748130273231038
vgg11_bn,512,0.001,4,17.48494094399845,17.347967537966642,0.001556916670365767,0.015748130273231038
vgg11_bn,512,0.001,5,16.42916788213393,16.41022130576047,0.0035886872898448596,0.015748130273231038
vgg11_bn,512,0.001,6,15.235792911753935,17.542307550256904,0.0020500313151966443,0.015748130273231038
vgg11_bn,512,0.001,7,15.099771740857292,14.862277421084316,0.0005777424032037908,0.015748130273231038
vgg11_bn,512,0.001,8,14.046976280212402,13.84368109703064,0.000989686359058727,0.015748130273231038
vgg11_bn,512,0.001,9,13.406708504171933,13.556101040406661,0.0020003318786621094,0.015748130273231038
vgg11_bn,512,0.001,10,13.013910742367015,15.917646754871715,0.0009893504056063566,0.015748130273231038
vgg11_bn,512,0.0001,1,86.404748804429,78.75035025856711,0.0021455829793756657,0.05309136904323408
vgg11_bn,512,0.0001,2,64.43454212861903,44.42519283294678,0.0007163719697432084,0.05309136904323408
vgg11_bn,512,0.0001,3,35.83346903183881,28.76967989314686,0.0035831711509011007,0.05309136904323408
vgg11_bn,512,0.0001,4,21.7571502124562,20.834538893266156,0.0014363093809647994,0.05309136904323408
vgg11_bn,512,0.0001,5,19.168106954237995,19.802061341025613,0.00286047025160356,0.05309136904323408
vgg11_bn,512,0.0001,6,18.473844270145193,20.573836239901457,0.0010673024437644265,0.05309136904323408
vgg11_bn,512,0.0001,7,17.97372018028708,18.886394197290596,0.002139416607943448,0.05309136904323408
vgg11_bn,512,0.0001,8,17.64125192305621,18.796678976579145,0.002008210528980602,0.05309136904323408
vgg11_bn,512,0.0001,9,17.425039470897,18.601105863397773,0.0018507675691084428,0.05309136904323408
vgg11_bn,512,0.0001,10,17.185075557933136,18.47141812064431,0.002874244343150746,0.05309136904323408
vgg11_bn,512,1e-05,1,91.07078354779412,90.40081405639648,0.002740534869107333,0.05614464839747732
vgg11_bn,512,1e-05,2,89.8510529462029,89.18187436190519,0.003576701337640936,0.05614464839747732
vgg11_bn,512,1e-05,3,88.66080968520221,87.88513911854137,0.0029070702466097746,0.05614464839747732
vgg11_bn,512,1e-05,4,87.15542602539062,86.1949199329723,0.0014293410561301491,0.05614464839747732
vgg11_bn,512,1e-05,5,85.39343997730928,84.36331315474077,0.0014284307306463068,0.05614464839747732
vgg11_bn,512,1e-05,6,83.2267365399529,81.73807577653365,0.0027402747761119495,0.05614464839747732
vgg11_bn,512,1e-05,7,80.49976555319394,79.00940010764383,0.0014292218468405983,0.05614464839747732
vgg11_bn,512,1e-05,8,77.5699795891257,75.43078318509188,0.0018993290987881746,0.05614464839747732
vgg11_bn,512,1e-05,9,74.47420483757467,72.16079538518733,0.0014302513816139915,0.05614464839747732
vgg11_bn,512,1e-05,10,71.2292370964499,69.66717650673606,0.0008058981461958451,0.05614464839747732
resnet18,512,0.01,1,26.359587063508876,21.164420821449973,0.004085215655240146,0.028678042921893295
resnet18,512,0.01,2,20.14750576019287,19.289302652532403,0.005033969879150391,0.028678042921893295
resnet18,512,0.01,3,18.0390947005328,19.720975268970836,0.003946954553777521,0.028678042921893295
resnet18,512,0.01,4,16.831691562428194,23.01307825608687,0.004541006955233487,0.028678042921893295
resnet18,512,0.01,5,15.345244991078097,14.44236135482788,0.004810950972817161,0.028678042921893295
resnet18,512,0.01,6,14.43794454686782,21.099413134834982,0.003395091403614391,0.028678042921893295
resnet18,512,0.01,7,14.621916782154756,19.61409213326194,0.0021403160962191496,0.028678042921893295
resnet18,512,0.01,8,12.799644941442153,13.051921107552268,0.004290103912353516,0.028678042921893295
resnet18,512,0.01,9,12.265170288085937,11.460862809961492,0.00216066837310791,0.028678042921893295
resnet18,512,0.01,10,12.519229305491727,13.380141388286244,0.002143328840082342,0.028678042921893295
resnet18,512,0.001,1,38.27965462628533,22.95480307665738,0.004288315773010254,0.04474003811368603
resnet18,512,0.001,2,20.139176009683048,19.871750831604004,0.0009660070592706853,0.04474003811368603
resnet18,512,0.001,3,17.472452926635743,17.250748959454622,0.006616397337480025,0.04474003811368603
resnet18,512,0.001,4,15.31445405623492,15.445339766415684,0.006653417240489613,0.04474003811368603
resnet18,512,0.001,5,14.36340367934283,14.343974763696844,0.003293297507546165,0.04474003811368603
resnet18,512,0.001,6,12.954936711928424,12.506190560080789,0.004559690302068537,0.04474003811368603
resnet18,512,0.001,7,12.415790019315832,13.472480773925781,0.0028133500706065784,0.04474003811368603
resnet18,512,0.001,8,11.174152531343347,10.41166394407099,0.002951383590698242,0.04474003811368603
